Site Name(Office),Raised Time,Alarm Code,Cleared Time,Duration(hh:mm:ss),Severity,NE,Alarm Type,Root Alarm Indicator,Location,NE Type,Specific Problem,Remark,ADMC Alarm,Repeated Count,Alarm Object Type,Alarm Object DN,Board Type,Alarm Object ID,Site ID(Office),Alarm Object Name,ACK State,System Type,Probable Cause,Product,Alarm AID,Additional NE,Additional Location,Changed Time,Additional Information,(Un)ACK User ID,(Un)ACK System ID,(Un)ACK Time,(Un)ACK Information,Clear User ID,Clear System ID,Clear Type,Clear Info,Comment,Comment User ID,Comment System ID,Comment Time,Alarm ID,NE IP,Link,NE Group,NE Agent,Related Service(s),Create Type,Threshold Information,Maintenance State,Raised Logging Time,Cleared Logging Time
Mabelreign-HA0228,12/14/2020 15:28,Link between OMM and NE broken(198099803),12/14/2020 15:31,0:02:32,Critical,Mabelreign-HA0228(8),Communications Alarm,,,ME(MO SDR),,"U RNCId: 4; IP: 10.182.0.73, OMC channel is abnormal; U nodeBId:8",No,,SDR,"SubNetwork=4,MEID=8",,8,8,Mabelreign-HA0228,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),UMTS,0,,,,Site ID(Office) : 8; Site Name(Office) : Mabelreign-HA0228; Alarm Object Type : SDR; Alarm Object ID : 8; Alarm Object Name : Mabelreign-HA0228; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,10.182.0.73,,"SDRMGR_V4 OMMB,Harare V4 OMMB(4)",SDRMGR_V4 OMMB,,,,,12/14/2020 15:23,12/14/2020 15:26
Zhombe-MD5202-U,12/13/2020 17:07,Cell is out of service(199083022),12/14/2020 15:25,22:18:19,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=14,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,The Node B responds with a cell establishment failure message.,"Alarm Object:CELL;  NodeB ID:103;  Cell ID:11132;  Alarm sub code:18;  Cell support MBMS or not:Cell does not support MBMS;  Slave No.:1;  User plane resource Unit ID:11;  the Module No. of the board:1;  Unit No. of the board:14;  Processor No. of the board:1;  Subsystem No. of the board:1;  Iub protocol error cause type:4;  Iub protocol error cause code:4;  Reserved:48/48/56/53/51; Logic Position:System No.:0,Module No.:4,Index:0;",No,,CELL,"SubNetwork=4,MEID=4,URncFunction=4,UUtranCellFDD=11132",CDR,11132,103,Zhombe-MD5202-U-2,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5857900,Zhombe-MD5202-U(103),,,Site ID(Office) : 103; Site Name(Office) : Zhombe-MD5202-U; Alarm Object Type : CELL; Alarm Object ID : 11132; Alarm Object Name : Zhombe-MD5202-U-2; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/13/2020 17:01,12/14/2020 15:20
Zhombe-MD5202-U,12/13/2020 17:07,Cell is out of service(199083022),12/14/2020 15:25,22:18:19,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=14,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,The Node B responds with a cell establishment failure message.,"Alarm Object:CELL;  NodeB ID:103;  Cell ID:11133;  Alarm sub code:18;  Cell support MBMS or not:Cell does not support MBMS;  Slave No.:1;  User plane resource Unit ID:95;  the Module No. of the board:1;  Unit No. of the board:14;  Processor No. of the board:1;  Subsystem No. of the board:1;  Iub protocol error cause type:4;  Iub protocol error cause code:4;  Reserved:48/48/56/53/51; Logic Position:System No.:0,Module No.:4,Index:0;",No,,CELL,"SubNetwork=4,MEID=4,URncFunction=4,UUtranCellFDD=11133",CDR,11133,103,Zhombe-MD5202-U-3,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5857901,Zhombe-MD5202-U(103),,,Site ID(Office) : 103; Site Name(Office) : Zhombe-MD5202-U; Alarm Object Type : CELL; Alarm Object ID : 11133; Alarm Object Name : Zhombe-MD5202-U-3; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/13/2020 17:01,12/14/2020 15:20
Zhombe-MD5202-U,12/13/2020 17:07,Cell is out of service(199083022),12/14/2020 15:25,22:18:19,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=14,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,The Node B responds with a cell establishment failure message.,"Alarm Object:CELL;  NodeB ID:103;  Cell ID:11131;  Alarm sub code:18;  Cell support MBMS or not:Cell does not support MBMS;  Slave No.:1;  User plane resource Unit ID:21;  the Module No. of the board:1;  Unit No. of the board:14;  Processor No. of the board:1;  Subsystem No. of the board:1;  Iub protocol error cause type:4;  Iub protocol error cause code:4;  Reserved:48/48/56/53/51; Logic Position:System No.:0,Module No.:4,Index:0;",No,,CELL,"SubNetwork=4,MEID=4,URncFunction=4,UUtranCellFDD=11131",CDR,11131,103,Zhombe-MD5202-U-1,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5857899,Zhombe-MD5202-U(103),,,Site ID(Office) : 103; Site Name(Office) : Zhombe-MD5202-U; Alarm Object Type : CELL; Alarm Object ID : 11131; Alarm Object Name : Zhombe-MD5202-U-1; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/13/2020 17:01,12/14/2020 15:20
Zhombe-MD5202-U,12/13/2020 17:10,Link between OMM and NE broken(198099803),12/14/2020 15:23,22:12:39,Critical,Zhombe-MD5202-U(103),Communications Alarm,,,ME(MO SDR),,"U RNCId: 4; IP: 10.182.3.41, OMC channel is abnormal; U nodeBId:103",No,,SDR,"SubNetwork=4,MEID=103",,103,103,Zhombe-MD5202-U,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),UMTS,0,,,,Site ID(Office) : 103; Site Name(Office) : Zhombe-MD5202-U; Alarm Object Type : SDR; Alarm Object ID : 103; Alarm Object Name : Zhombe-MD5202-U; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,10.182.3.41,,"SDRMGR_V4 OMMB,Harare V4 OMMB(4)",SDRMGR_V4 OMMB,,,,,12/13/2020 17:05,12/14/2020 15:17
GokweCBD-MD6014-U,12/13/2020 17:05,Link between OMM and NE broken(198099803),12/14/2020 15:23,22:17:20,Critical,GokweCBD-MD6014-U(97),Communications Alarm,,,ME(MO SDR),,"U RNCId: 4; IP: 10.182.2.225, OMC channel is abnormal; U nodeBId:97",No,,SDR,"SubNetwork=4,MEID=97",,97,97,GokweCBD-MD6014-U,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),UMTS,0,,,,Site ID(Office) : 97; Site Name(Office) : GokweCBD-MD6014-U; Alarm Object Type : SDR; Alarm Object ID : 97; Alarm Object Name : GokweCBD-MD6014-U; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,10.182.2.225,,"SDRMGR_V4 OMMB,Harare V4 OMMB(4)",SDRMGR_V4 OMMB,,,,,12/13/2020 17:00,12/14/2020 15:17
Mapfungautse-MD6015-U,12/13/2020 17:05,Link between OMM and NE broken(198099803),12/14/2020 15:23,22:17:20,Critical,Mapfungautse-MD6015-U(99),Communications Alarm,,,ME(MO SDR),,"U RNCId: 4; IP: 10.182.2.217, OMC channel is abnormal; U nodeBId:99",No,,SDR,"SubNetwork=4,MEID=99",,99,99,Mapfungautse-MD6015-U,Unacknowledged,Wireless Public Alarm(20402),Connection establishment error(566),UMTS,0,,,,Site ID(Office) : 99; Site Name(Office) : Mapfungautse-MD6015-U; Alarm Object Type : SDR; Alarm Object ID : 99; Alarm Object Name : Mapfungautse-MD6015-U; Board Type : ; ,,,,,,,Normal,,,,,,1.5859E+12,10.182.2.217,,"SDRMGR_V4 OMMB,Harare V4 OMMB(4)",SDRMGR_V4 OMMB,,,,,12/13/2020 17:00,12/14/2020 15:17
Mapfungautse-MD6015-U,12/13/2020 17:03,NodeB is out of service(199083023),12/14/2020 15:22,22:19:07,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=10,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:99;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1101; Logic Position:System No.:0,Module No.:6,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=99",CDR,99,99,Mapfungautse-MD6015-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5857873,Mapfungautse-MD6015-U(99),,,Site ID(Office) : 99; Site Name(Office) : Mapfungautse-MD6015-U; Alarm Object Type : NODEB; Alarm Object ID : 99; Alarm Object Name : Mapfungautse-MD6015-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/13/2020 16:58,12/14/2020 15:17
GokweCBD-MD6014-U,12/13/2020 17:03,NodeB is out of service(199083023),12/14/2020 15:22,22:19:01,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=3,Board(V4)=2,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:97;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1106; Logic Position:System No.:0,Module No.:5,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=97",CDR,97,97,GokweCBD-MD6014-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5857875,GokweCBD-MD6014-U(97),,,Site ID(Office) : 97; Site Name(Office) : GokweCBD-MD6014-U; Alarm Object Type : NODEB; Alarm Object ID : 97; Alarm Object Name : GokweCBD-MD6014-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/13/2020 16:58,12/14/2020 15:17
Zhombe-MD5202-U,12/13/2020 17:08,NodeB is out of service(199083023),12/14/2020 15:22,22:14:26,Critical,Harare V4 RNC(4),Processing Error Alarm,,"Global(V4)=1,Rack(V4)=1,Shelf(V4)=1,Board(V4)=14,CPU(V4)=1",Controller ManagedElement(V4)/H(e)NB GW,NCP link failure,"Alarm Object:NODEB;  NodeB ID:103;  Alarm sub code:2;  Iub Transport bearer type:IP V4 Bearer Type;  Link Number:1;  Link ID list:1108; Logic Position:System No.:0,Module No.:4,Index:0;",No,,NODEB,"SubNetwork=4,MEID=4,URncFunction=4,UIubLink=103",CDR,103,103,Zhombe-MD5202-U,Unacknowledged,UMTS Controller Alarm(V4)(20426),Equipment Malfunction(315),UMTS,5857910,Zhombe-MD5202-U(103),,,Site ID(Office) : 103; Site Name(Office) : Zhombe-MD5202-U; Alarm Object Type : NODEB; Alarm Object ID : 103; Alarm Object Name : Zhombe-MD5202-U; Board Type : CDR; ,,,,,,,Normal,,,,,,1.5859E+12,129.0.1.1,,"Harare V4 RNC,TELCEL HAR V4 RNC(4)",Harare V4 RNC,,,,,12/13/2020 17:02,12/14/2020 15:17
